475,0
471,1
468,2
466,3
463,4
461,5
459,6
457,7
455,8
454,9
453,10
451,11
450,12
449,13
448,14
447,15
447,16
446,17
446,18
446,19
445,20
446,21
446,22
446,23
447,24
447,25
448,26
449,27
449,28
451,29
452,30
454,31
455,32
457,33
459,34
461,35
463,36
465,37
468,38
471,39
474,40
477,41
480,42
483,43
486,44
490,45
494,46
498,47
503,48
507,49
511,50
516,51
522,52
519,53
506,54
189,55
176,56
174,57
173,58
172,59
170,60
169,61
168,62
167,63
166,64
166,65
167,66
168,67
171,68
173,69
177,70
182,71
-1,72
-1,73
-1,74
-1,75
-1,76
336,77
332,78
329,79
326,80
323,81
320,82
317,83
314,84
312,85
309,86
307,87
305,88
304,89
301,90
300,91
298,92
296,93
295,94
294,95
293,96
292,97
291,98
290,99
289,100
289,101
288,102
287,103
287,104
287,105
287,106
287,107
287,108
287,109
287,110
287,111
287,112
288,113
288,114
288,115
289,116
290,117
291,118
292,119
294,120
295,121
297,122
299,123
301,124
303,125
306,126
308,127
310,128
313,129
315,130
319,131
321,132
325,133
328,134
331,135
334,136
338,137
342,138
347,139
350,140
355,141
360,142
365,143
370,144
376,145
381,146
387,147
393,148
399,149
406,150
413,151
420,152
428,153
434,154
441,155
448,156
455,157
463,158
471,159
480,160
489,161
499,162
509,163
519,164
183,165
166,166
159,167
156,168
154,169
152,170
150,171
149,172
149,173
148,174
148,175
148,176
149,177
150,178
152,179
153,180
154,181
156,182
160,183
163,184
-1,185
-1,186
-1,187
223,188
226,189
228,190
231,191
-1,192
-1,193
248,194
-1,195
293,196
-1,197
-1,198
-1,199
542,200
542,201
542,202
542,203
543,204
544,205
544,206
546,207
547,208
548,209
549,210
551,211
553,212
555,213
558,214
560,215
563,216
565,217
368,218
361,219
354,220
349,221
339,222
332,223
317,224
-1,225
-1,226
294,227
292,228
290,229
289,230
287,231
286,232
287,233
285,234
287,235
290,236
251,237
249,238
251,239
260,240
265,241
-1,242
-1,243
-1,244
-1,245
532,246
524,247
516,248
508,249
502,250
495,251
488,252
482,253
477,254
471,255
466,256
461,257
456,258
451,259
447,260
442,261
439,262
435,263
431,264
428,265
425,266
422,267
419,268
416,269
414,270
411,271
409,272
407,273
404,274
403,275
401,276
399,277
398,278
396,279
396,280
394,281
393,282
391,283
390,284
390,285
390,286
391,287
390,288
390,289
391,290
391,291
392,292
393,293
394,294
395,295
396,296
397,297
253,298
241,299
241,300
241,301
240,302
238,303
238,304
239,305
241,306
244,307
247,308
254,309
-1,310
-1,311
-1,312
438,313
440,314
444,315
448,316
452,317
457,318
462,319
467,320
473,321
478,322
484,323
490,324
496,325
503,326
510,327
517,328
525,329
533,330
541,331
549,332
559,333
567,334
577,335
587,336
596,337
607,338
594,339
585,340
576,341
568,342
560,343
554,344
546,345
540,346
533,347
527,348
521,349
516,350
-1,351
507,352
501,353
496,354
492,355
488,356
485,357
481,358
478,359
475,360
